Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 16:59:55.710,4.903,17.972,0.802,23.677
2026-06-07 16:59:55.756,5.039,17.691,1.614,24.345
2026-06-07 16:59:55.788,4.754,17.150,1.449,23.353
2026-06-07 16:59:55.835,4.948,18.063,0.800,23.811
2026-06-07 16:59:55.883,4.894,17.042,1.484,23.420
2026-06-07 16:59:55.931,4.788,17.402,0.810,23.000
2026-06-07 16:59:55.979,4.836,18.104,0.827,23.768
2026-06-07 16:59:56.026,4.743,17.048,1.441,23.232
2026-06-07 16:59:56.073,4.731,16.951,0.804,22.486
2026-06-07 16:59:56.122,5.065,18.364,1.478,24.908
2026-06-07 16:59:56.169,4.889,17.004,1.570,23.463
2026-06-07 16:59:56.202,4.896,17.069,0.844,22.809
2026-06-07 16:59:56.235,4.841,18.120,1.524,24.485
2026-06-07 16:59:56.266,4.655,17.623,1.452,23.730
2026-06-07 16:59:56.315,5.107,21.050,0.889,27.046
2026-06-07 16:59:56.360,4.837,17.267,1.449,23.553
2026-06-07 16:59:56.405,5.110,14.029,1.659,20.799
2026-06-07 16:59:56.437,4.942,15.214,0.804,20.961
2026-06-07 16:59:56.486,4.926,15.648,1.578,22.152
2026-06-07 16:59:56.534,4.897,14.825,1.461,21.184
2026-06-07 16:59:56.578,5.007,14.223,0.910,20.140
2026-06-07 16:59:56.614,4.679,14.269,1.468,20.416
2026-06-07 16:59:56.659,5.006,14.484,1.499,20.990
2026-06-07 16:59:56.707,5.273,14.008,0.806,20.087
2026-06-07 16:59:56.756,4.806,14.310,1.860,20.977
2026-06-07 16:59:56.804,4.879,14.646,1.660,21.186
2026-06-07 16:59:56.836,4.775,14.245,0.850,19.870
2026-06-07 16:59:56.884,4.692,14.285,1.452,20.429
2026-06-07 16:59:56.930,5.180,14.665,1.623,21.468
2026-06-07 16:59:56.978,4.735,14.134,0.790,19.660
2026-06-07 16:59:57.026,4.737,14.564,1.451,20.753
2026-06-07 16:59:57.075,5.704,14.571,0.801,21.076
2026-06-07 16:59:57.124,4.942,14.049,1.459,20.451
2026-06-07 16:59:57.170,5.296,14.019,1.452,20.768
2026-06-07 16:59:57.218,4.986,15.138,0.800,20.924
2026-06-07 16:59:57.265,4.856,14.145,1.460,20.462
2026-06-07 16:59:57.313,4.730,14.171,1.443,20.343
2026-06-07 16:59:57.360,6.780,14.663,0.834,22.277
2026-06-07 16:59:57.408,4.809,14.377,1.492,20.678
2026-06-07 16:59:57.456,4.728,14.089,1.448,20.266
2026-06-07 16:59:57.503,4.913,14.804,0.850,20.567
2026-06-07 16:59:57.552,5.018,14.547,1.668,21.233
