Timestamp,PreprocessMs,InferenceMs,PostprocessMs,TotalMs
2026-06-07 18:05:38.829,6.269,14.204,1.376,21.850
2026-06-07 18:05:38.930,5.253,14.223,1.514,20.991
2026-06-07 18:05:38.963,6.181,14.650,1.316,22.148
2026-06-07 18:05:39.029,5.246,13.273,1.569,20.088
2026-06-07 18:05:39.130,4.789,13.471,1.093,19.353
2026-06-07 18:05:39.158,5.604,13.663,1.345,20.612
2026-06-07 18:05:39.229,5.015,14.145,1.290,20.450
2026-06-07 18:05:39.330,6.473,13.553,1.015,21.041
2026-06-07 18:05:39.361,4.896,14.153,1.274,20.324
2026-06-07 18:05:39.432,6.530,13.990,1.394,21.914
2026-06-07 18:05:39.530,4.961,13.347,1.099,19.407
2026-06-07 18:05:39.558,5.094,13.870,1.336,20.299
2026-06-07 18:05:39.632,4.853,13.926,1.267,20.046
2026-06-07 18:05:39.733,4.943,13.495,1.260,19.699
2026-06-07 18:05:39.763,6.281,14.418,1.282,21.982
2026-06-07 18:05:39.835,5.336,13.839,1.372,20.547
2026-06-07 18:05:39.859,4.918,13.689,0.916,19.524
2026-06-07 18:05:39.935,4.948,14.144,1.312,20.403
2026-06-07 18:05:40.036,5.913,14.184,1.300,21.397
2026-06-07 18:05:40.137,6.586,13.963,1.036,21.584
2026-06-07 18:05:40.168,4.959,14.230,1.271,20.460
2026-06-07 18:05:40.238,6.237,14.359,1.275,21.871
2026-06-07 18:05:40.336,6.524,13.726,1.056,21.307
2026-06-07 18:05:40.370,5.482,15.118,1.259,21.861
2026-06-07 18:05:40.437,5.043,13.732,0.850,19.625
2026-06-07 18:05:40.462,4.900,14.293,1.321,20.514
2026-06-07 18:05:40.539,5.779,14.292,1.270,21.342
2026-06-07 18:05:40.638,5.057,13.994,0.833,19.884
2026-06-07 18:05:40.663,4.953,14.224,1.265,20.442
2026-06-07 18:05:40.741,6.401,14.265,1.434,22.101
2026-06-07 18:05:40.951,4.766,14.015,0.848,19.629
2026-06-07 18:05:40.977,4.978,14.051,1.268,20.297
2026-06-07 18:05:41.046,5.030,13.725,1.356,20.112
2026-06-07 18:05:41.072,4.792,13.456,0.853,19.101
2026-06-07 18:05:41.155,6.370,13.806,1.557,21.734
2026-06-07 18:05:41.184,4.571,14.067,1.257,19.896
2026-06-07 18:05:41.241,6.835,13.947,1.032,21.814
2026-06-07 18:05:41.269,4.680,14.563,1.291,20.534
2026-06-07 18:05:41.346,5.013,13.563,1.254,19.831
2026-06-07 18:05:41.444,5.494,13.624,1.246,20.365
2026-06-07 18:05:41.546,6.086,13.765,2.410,22.262
2026-06-07 18:05:41.576,5.289,13.620,1.644,20.554
2026-06-07 18:05:41.643,4.790,14.498,0.891,20.180
2026-06-07 18:05:41.671,6.519,13.449,1.476,21.445
2026-06-07 18:05:41.745,5.201,14.790,1.288,21.280
2026-06-07 18:05:41.845,6.524,14.133,0.842,21.499
2026-06-07 18:05:41.871,4.666,13.632,1.438,19.737
2026-06-07 18:05:41.944,4.755,13.101,1.546,19.402
2026-06-07 18:05:42.045,4.842,13.898,0.840,19.581
2026-06-07 18:05:42.072,4.691,13.531,1.454,19.678
2026-06-07 18:05:42.149,5.188,14.141,1.354,20.683
2026-06-07 18:05:42.248,6.949,13.563,1.018,21.531
2026-06-07 18:05:42.280,4.787,14.144,1.353,20.285
2026-06-07 18:05:42.350,6.821,13.296,1.868,21.985
2026-06-07 18:05:42.453,7.818,13.948,1.363,23.130
2026-06-07 18:05:42.486,5.369,14.558,1.331,21.258
2026-06-07 18:05:42.549,4.854,14.084,1.320,20.258
2026-06-07 18:05:42.651,4.630,13.526,0.894,19.051
2026-06-07 18:05:42.677,4.907,14.522,1.269,20.698
2026-06-07 18:05:42.749,4.836,13.738,1.328,19.902
2026-06-07 18:05:42.900,5.261,14.141,0.880,20.283
2026-06-07 18:05:42.928,4.785,14.178,2.025,20.989
2026-06-07 18:05:42.958,6.701,13.550,1.010,21.262
2026-06-07 18:05:43.001,4.847,14.647,1.335,20.830
2026-06-07 18:05:43.102,6.078,13.888,1.475,21.441
2026-06-07 18:05:43.203,5.771,14.062,1.288,21.122
2026-06-07 18:05:43.236,4.935,14.890,1.313,21.139
2026-06-07 18:05:43.302,4.763,14.078,1.499,20.341
2026-06-07 18:05:43.402,4.714,13.831,0.928,19.473
2026-06-07 18:05:43.431,4.667,13.196,1.535,19.398
2026-06-07 18:05:43.502,4.720,13.636,1.412,19.769
2026-06-07 18:05:43.603,4.900,14.132,0.886,19.919
2026-06-07 18:05:43.632,4.758,14.132,1.284,20.174
2026-06-07 18:05:43.703,4.732,13.536,1.538,19.806
2026-06-07 18:05:43.806,5.058,14.467,0.922,20.448
2026-06-07 18:05:43.838,6.353,14.143,1.556,22.052
2026-06-07 18:05:43.907,4.835,14.331,1.421,20.587
2026-06-07 18:05:43.933,6.679,13.982,0.859,21.520
2026-06-07 18:05:43.959,5.275,13.136,1.345,19.756
2026-06-07 18:05:44.007,4.801,13.575,1.414,19.790
2026-06-07 18:05:44.108,5.298,13.793,1.006,20.097
2026-06-07 18:05:44.146,6.665,14.746,1.714,23.125
